Category,Subcategory,Word,Usage_Context,Platform_Optimized
subjects,people_professions,person,Subject/Main focus of image,All platforms
subjects,people_professions,woman,Subject/Main focus of image,All platforms
subjects,people_professions,man,Subject/Main focus of image,All platforms
subjects,people_professions,child,Subject/Main focus of image,All platforms
subjects,people_professions,teenager,Subject/Main focus of image,All platforms
subjects,people_professions,adult,Subject/Main focus of image,All platforms
subjects,people_professions,elderly,Subject/Main focus of image,All platforms
subjects,people_professions,individual,Subject/Main focus of image,All platforms
subjects,people_professions,character,Subject/Main focus of image,All platforms
subjects,people_professions,figure,Subject/Main focus of image,All platforms
subjects,people_professions,model,Subject/Main focus of image,All platforms
subjects,people_professions,subject,Subject/Main focus of image,All platforms
subjects,people_professions,human,Subject/Main focus of image,All platforms
subjects,people_professions,being,Subject/Main focus of image,All platforms
subjects,people_professions,portrait,Subject/Main focus of image,All platforms
subjects,people_professions,face,Subject/Main focus of image,All platforms
subjects,people_professions,expression,Subject/Main focus of image,All platforms
subjects,people_professions,eyes,Subject/Main focus of image,All platforms
subjects,people_professions,smile,Subject/Main focus of image,All platforms
subjects,people_professions,gaze,Subject/Main focus of image,All platforms
subjects,people_professions,look,Subject/Main focus of image,All platforms
subjects,people_professions,appearance,Subject/Main focus of image,All platforms
subjects,people_professions,professional,Subject/Main focus of image,All platforms
subjects,people_professions,artist,Subject/Main focus of image,All platforms
subjects,people_professions,musician,Subject/Main focus of image,All platforms
subjects,people_professions,dancer,Subject/Main focus of image,All platforms
subjects,people_professions,athlete,Subject/Main focus of image,All platforms
subjects,people_professions,student,Subject/Main focus of image,All platforms
subjects,people_professions,worker,Subject/Main focus of image,All platforms
subjects,people_professions,executive,Subject/Main focus of image,All platforms
subjects,people_professions,entrepreneur,Subject/Main focus of image,All platforms
subjects,people_professions,creator,Subject/Main focus of image,All platforms
subjects,people_professions,innovator,Subject/Main focus of image,All platforms
subjects,people_professions,leader,Subject/Main focus of image,All platforms
subjects,people_professions,warrior,Subject/Main focus of image,All platforms
subjects,people_professions,hero,Subject/Main focus of image,All platforms
subjects,people_professions,villain,Subject/Main focus of image,All platforms
subjects,people_professions,protagonist,Subject/Main focus of image,All platforms
subjects,people_professions,antagonist,Subject/Main focus of image,All platforms
subjects,people_professions,character,Subject/Main focus of image,All platforms
subjects,people_professions,celebrity,Subject/Main focus of image,All platforms
subjects,people_professions,influencer,Subject/Main focus of image,All platforms
subjects,people_professions,public figure,Subject/Main focus of image,All platforms
subjects,people_professions,personality,Subject/Main focus of image,All platforms
subjects,people_professions,icon,Subject/Main focus of image,All platforms
subjects,people_professions,doctor,Subject/Main focus of image,All platforms
subjects,people_professions,nurse,Subject/Main focus of image,All platforms
subjects,people_professions,surgeon,Subject/Main focus of image,All platforms
subjects,people_professions,physician,Subject/Main focus of image,All platforms
subjects,people_professions,therapist,Subject/Main focus of image,All platforms
subjects,people_professions,psychologist,Subject/Main focus of image,All platforms
subjects,people_professions,teacher,Subject/Main focus of image,All platforms
subjects,people_professions,professor,Subject/Main focus of image,All platforms
subjects,people_professions,educator,Subject/Main focus of image,All platforms
subjects,people_professions,instructor,Subject/Main focus of image,All platforms
subjects,people_professions,tutor,Subject/Main focus of image,All platforms
subjects,people_professions,mentor,Subject/Main focus of image,All platforms
subjects,people_professions,engineer,Subject/Main focus of image,All platforms
subjects,people_professions,architect,Subject/Main focus of image,All platforms
subjects,people_professions,designer,Subject/Main focus of image,All platforms
subjects,people_professions,developer,Subject/Main focus of image,All platforms
subjects,people_professions,programmer,Subject/Main focus of image,All platforms
subjects,people_professions,analyst,Subject/Main focus of image,All platforms
subjects,people_professions,lawyer,Subject/Main focus of image,All platforms
subjects,people_professions,judge,Subject/Main focus of image,All platforms
subjects,people_professions,attorney,Subject/Main focus of image,All platforms
subjects,people_professions,paralegal,Subject/Main focus of image,All platforms
subjects,people_professions,consultant,Subject/Main focus of image,All platforms
subjects,people_professions,advisor,Subject/Main focus of image,All platforms
subjects,people_professions,chef,Subject/Main focus of image,All platforms
subjects,people_professions,cook,Subject/Main focus of image,All platforms
subjects,people_professions,baker,Subject/Main focus of image,All platforms
subjects,people_professions,bartender,Subject/Main focus of image,All platforms
subjects,people_professions,waiter,Subject/Main focus of image,All platforms
subjects,people_professions,server,Subject/Main focus of image,All platforms
subjects,people_professions,sommelier,Subject/Main focus of image,All platforms
subjects,people_professions,photographer,Subject/Main focus of image,All platforms
subjects,people_professions,videographer,Subject/Main focus of image,All platforms
subjects,people_professions,filmmaker,Subject/Main focus of image,All platforms
subjects,people_professions,director,Subject/Main focus of image,All platforms
subjects,people_professions,producer,Subject/Main focus of image,All platforms
subjects,people_professions,editor,Subject/Main focus of image,All platforms
subjects,people_professions,journalist,Subject/Main focus of image,All platforms
subjects,people_professions,reporter,Subject/Main focus of image,All platforms
subjects,people_professions,writer,Subject/Main focus of image,All platforms
subjects,people_professions,author,Subject/Main focus of image,All platforms
subjects,people_professions,blogger,Subject/Main focus of image,All platforms
subjects,people_professions,content creator,Subject/Main focus of image,All platforms
subjects,people_professions,scientist,Subject/Main focus of image,All platforms
subjects,people_professions,researcher,Subject/Main focus of image,All platforms
subjects,people_professions,biologist,Subject/Main focus of image,All platforms
subjects,people_professions,chemist,Subject/Main focus of image,All platforms
subjects,people_professions,physicist,Subject/Main focus of image,All platforms
subjects,people_professions,mathematician,Subject/Main focus of image,All platforms
subjects,people_professions,pilot,Subject/Main focus of image,All platforms
subjects,people_professions,captain,Subject/Main focus of image,All platforms
subjects,people_professions,sailor,Subject/Main focus of image,All platforms
subjects,people_professions,driver,Subject/Main focus of image,All platforms
subjects,people_professions,mechanic,Subject/Main focus of image,All platforms
subjects,people_professions,technician,Subject/Main focus of image,All platforms
subjects,people_professions,electrician,Subject/Main focus of image,All platforms
subjects,people_professions,plumber,Subject/Main focus of image,All platforms
subjects,people_professions,carpenter,Subject/Main focus of image,All platforms
subjects,people_professions,builder,Subject/Main focus of image,All platforms
subjects,people_professions,mason,Subject/Main focus of image,All platforms
subjects,people_professions,welder,Subject/Main focus of image,All platforms
subjects,people_professions,painter,Subject/Main focus of image,All platforms
subjects,people_professions,decorator,Subject/Main focus of image,All platforms
subjects,people_professions,farmer,Subject/Main focus of image,All platforms
subjects,people_professions,gardener,Subject/Main focus of image,All platforms
subjects,people_professions,landscaper,Subject/Main focus of image,All platforms
subjects,people_professions,florist,Subject/Main focus of image,All platforms
subjects,people_professions,veterinarian,Subject/Main focus of image,All platforms
subjects,people_professions,trainer,Subject/Main focus of image,All platforms
subjects,people_professions,librarian,Subject/Main focus of image,All platforms
subjects,people_professions,curator,Subject/Main focus of image,All platforms
