ID,Category,Subcategory,Title,Template,Description,Variables,Platform_Optimized,Complexity
PHOT_001,Photography,Portrait,Professional Executive Portrait Variation 1,"professional executive portrait of {subject}, {style}, {lighting}, {quality}",Professional professional executive portrait template,"subject, style, lighting, quality modifiers",All platforms,Medium
PHOT_002,Photography,Portrait,Professional Executive Portrait Variation 2,"professional executive portrait of {subject}, {style}, {lighting}, {quality}",Professional professional executive portrait template,"subject, style, lighting, quality modifiers",All platforms,Medium
PHOT_003,Photography,Portrait,Professional Executive Portrait Variation 3,"professional executive portrait of {subject}, {style}, {lighting}, {quality}",Professional professional executive portrait template,"subject, style, lighting, quality modifiers",All platforms,Medium
PHOT_004,Photography,Portrait,Professional Executive Portrait Variation 4,"professional executive portrait of {subject}, {style}, {lighting}, {quality}",Professional professional executive portrait template,"subject, style, lighting, quality modifiers",All platforms,Medium
PHOT_005,Photography,Portrait,Fashion Editorial Portrait Variation 1,"fashion editorial portrait of {subject}, {style}, {lighting}, {quality}",Professional fashion editorial portrait template,"subject, style, lighting, quality modifiers",All platforms,Medium
PHOT_006,Photography,Portrait,Fashion Editorial Portrait Variation 2,"fashion editorial portrait of {subject}, {style}, {lighting}, {quality}",Professional fashion editorial portrait template,"subject, style, lighting, quality modifiers",All platforms,Medium
PHOT_007,Photography,Portrait,Fashion Editorial Portrait Variation 3,"fashion editorial portrait of {subject}, {style}, {lighting}, {quality}",Professional fashion editorial portrait template,"subject, style, lighting, quality modifiers",All platforms,Medium
PHOT_008,Photography,Portrait,Fashion Editorial Portrait Variation 4,"fashion editorial portrait of {subject}, {style}, {lighting}, {quality}",Professional fashion editorial portrait template,"subject, style, lighting, quality modifiers",All platforms,Medium
PHOT_009,Photography,Portrait,Environmental Portrait Variation 1,"environmental portrait of {subject}, {style}, {lighting}, {quality}",Professional environmental portrait template,"subject, style, lighting, quality modifiers",All platforms,Medium
PHOT_010,Photography,Portrait,Environmental Portrait Variation 2,"environmental portrait of {subject}, {style}, {lighting}, {quality}",Professional environmental portrait template,"subject, style, lighting, quality modifiers",All platforms,Medium
PHOT_011,Photography,Portrait,Environmental Portrait Variation 3,"environmental portrait of {subject}, {style}, {lighting}, {quality}",Professional environmental portrait template,"subject, style, lighting, quality modifiers",All platforms,Medium
PHOT_012,Photography,Portrait,Environmental Portrait Variation 4,"environmental portrait of {subject}, {style}, {lighting}, {quality}",Professional environmental portrait template,"subject, style, lighting, quality modifiers",All platforms,Medium
PHOT_013,Photography,General,Street Photography Scene Variation 1,"street photography scene of {subject}, {style}, {lighting}, {quality}",Professional street photography scene template,"subject, style, lighting, quality modifiers",All platforms,Medium
PHOT_014,Photography,General,Street Photography Scene Variation 2,"street photography scene of {subject}, {style}, {lighting}, {quality}",Professional street photography scene template,"subject, style, lighting, quality modifiers",All platforms,Medium
PHOT_015,Photography,General,Street Photography Scene Variation 3,"street photography scene of {subject}, {style}, {lighting}, {quality}",Professional street photography scene template,"subject, style, lighting, quality modifiers",All platforms,Medium
PHOT_016,Photography,General,Street Photography Scene Variation 4,"street photography scene of {subject}, {style}, {lighting}, {quality}",Professional street photography scene template,"subject, style, lighting, quality modifiers",All platforms,Medium
PHOT_017,Photography,Landscape,Landscape Photography Variation 1,"landscape photography of {subject}, {style}, {lighting}, {quality}",Professional landscape photography template,"subject, style, lighting, quality modifiers",All platforms,Medium
PHOT_018,Photography,Landscape,Landscape Photography Variation 2,"landscape photography of {subject}, {style}, {lighting}, {quality}",Professional landscape photography template,"subject, style, lighting, quality modifiers",All platforms,Medium
PHOT_019,Photography,Landscape,Landscape Photography Variation 3,"landscape photography of {subject}, {style}, {lighting}, {quality}",Professional landscape photography template,"subject, style, lighting, quality modifiers",All platforms,Medium
PHOT_020,Photography,Landscape,Landscape Photography Variation 4,"landscape photography of {subject}, {style}, {lighting}, {quality}",Professional landscape photography template,"subject, style, lighting, quality modifiers",All platforms,Medium
PHOT_021,Photography,General,Macro Flower Photography Variation 1,"macro flower photography of {subject}, {style}, {lighting}, {quality}",Professional macro flower photography template,"subject, style, lighting, quality modifiers",All platforms,Medium
PHOT_022,Photography,General,Macro Flower Photography Variation 2,"macro flower photography of {subject}, {style}, {lighting}, {quality}",Professional macro flower photography template,"subject, style, lighting, quality modifiers",All platforms,Medium
PHOT_023,Photography,General,Macro Flower Photography Variation 3,"macro flower photography of {subject}, {style}, {lighting}, {quality}",Professional macro flower photography template,"subject, style, lighting, quality modifiers",All platforms,Medium
PHOT_024,Photography,General,Macro Flower Photography Variation 4,"macro flower photography of {subject}, {style}, {lighting}, {quality}",Professional macro flower photography template,"subject, style, lighting, quality modifiers",All platforms,Medium
PHOT_025,Photography,Portrait,Wildlife Animal Portrait Variation 1,"wildlife animal portrait of {subject}, {style}, {lighting}, {quality}",Professional wildlife animal portrait template,"subject, style, lighting, quality modifiers",All platforms,Medium
PHOT_026,Photography,Portrait,Wildlife Animal Portrait Variation 2,"wildlife animal portrait of {subject}, {style}, {lighting}, {quality}",Professional wildlife animal portrait template,"subject, style, lighting, quality modifiers",All platforms,Medium
PHOT_027,Photography,Portrait,Wildlife Animal Portrait Variation 3,"wildlife animal portrait of {subject}, {style}, {lighting}, {quality}",Professional wildlife animal portrait template,"subject, style, lighting, quality modifiers",All platforms,Medium
PHOT_028,Photography,Portrait,Wildlife Animal Portrait Variation 4,"wildlife animal portrait of {subject}, {style}, {lighting}, {quality}",Professional wildlife animal portrait template,"subject, style, lighting, quality modifiers",All platforms,Medium
PHOT_029,Photography,General,Architectural Photography Variation 1,"architectural photography of {subject}, {style}, {lighting}, {quality}",Professional architectural photography template,"subject, style, lighting, quality modifiers",All platforms,Medium
PHOT_030,Photography,General,Architectural Photography Variation 2,"architectural photography of {subject}, {style}, {lighting}, {quality}",Professional architectural photography template,"subject, style, lighting, quality modifiers",All platforms,Medium
